FILE NAME                               POSITIVE WORDS      NEGATIVE WORDS      STOP WORDS          POLARITY            TIME TAKEN
----------------------------------------------------------------------------------------------------------------------------------
100_The_Complete_Works_of_William_.txt  2113                1939                412                 174                 0.4626533s
101_The_Hacker_Crackdown                0                   0                   0                   0                   0.0000011s
102_The_Tragedy_of_Pudd'nhead_Wils.txt  1051                694                 317                 357                 0.0315433s
103_Around_the_World_in_Eighty_Day.txt  1049                585                 304                 464                 0.0370834s
104_Inaugural_Address_of_Franklin_.txt  276                 79                  156                 197                 0.0041986s
105_Persuasion.txt                      1169                678                 301                 491                 0.0478128s
106_Jungle_Tales_of_Tarzan.txt          1063                781                 290                 282                 0.0412989s
107_Far_from_the_Madding_Crowd.txt      1558                1147                346                 411                 0.0759560s
108_The_Return_of_Sherlock_Holmes.txt   1314                921                 306                 393                 0.0612976s
109_Renascence,_and_Other_Poems.txt     382                 206                 223                 176                 0.0060509s
10_The_King_James_Version_of_the_.txt   1176                876                 332                 300                 0.3294476s
110_Tess_of_the_d'Urbervilles           0                   0                   0                   0                   0.0000015s
111_Freckles.txt                        1136                687                 301                 449                 0.0431953s
112_Violists.txt                        690                 280                 272                 410                 0.0148398s
113_The_Secret_Garden.txt               832                 482                 285                 350                 0.0398074s
114_The_Tenniel_Illustrations_for_.txt  142                 33                  119                 109                 0.0024339s
115_United_States_Census_Figures_B.txt  182                 32                  154                 150                 0.0234147s
117_Symphony_No._5_in_C_minor_Opus.txt  131                 28                  115                 103                 0.0023292s
118_Big_Dummy's_Guide_to_the_Inter.txt  695                 265                 300                 430                 0.0351046s
119_A_Tramp_Abroad.txt                  1689                1198                356                 491                 0.0846734s
11_Alice's_Adventures_in_Wonderla.txt   510                 267                 261                 243                 0.0155263s
120_Treasure_Island.txt                 893                 649                 304                 244                 0.0361277s
12_Through_the_Looking-Glass.txt        559                 302                 260                 257                 0.0165688s
13_The_Hunting_of_the_Snark             0                   0                   0                   0                   0.0000006s
14_The_1990_CIA_World_Factbook.txt      820                 355                 259                 465                 0.1358942s
15_Moby-Dick;_or,_The_Whale.txt         1870                1439                392                 431                 0.1175160s
16_Peter_Pan.txt                        858                 597                 282                 261                 0.0263882s
17_The_Book_of_Mormon                   0                   0                   0                   0                   0.0000007s
18_The_Federalist_Papers.txt            1333                1046                314                 287                 0.1086901s
19_The_Song_of_Hiawatha.txt             606                 411                 236                 195                 0.0196340s
1_The_Declaration_of_Independenc.txt    567                 242                 254                 325                 0.0120124s
20_Paradise_Lost.txt                    1058                787                 296                 271                 0.0443399s
21_Aesop's_Fables                       0                   0                   0                   0                   0.0000008s
22_Roget's_Thesaurus.txt                3073                2947                403                 126                 0.1327549s
23_Narrative_of_the_Life_of_Frede.txt   941                 572                 291                 369                 0.0247757s
24_O_Pioneers!.txt                      840                 569                 285                 271                 0.0297416s
25_The_1991_CIA_World_Factbook.txt      870                 372                 265                 498                 0.1481962s
26_Paradise_Lost.txt                    1278                933                 316                 345                 0.0468751s
27_Far_from_the_Madding_Crowd.txt       1561                1135                348                 426                 0.0753057s
28_The_Fables_of_Aesop                  0                   0                   0                   0                   0.0000006s
29_The_1990_United_States_Census.txt    136                 29                  114                 107                 0.0084692s
