FILE NAME                               POSITIVE WORDS      NEGATIVE WORDS      STOP WORDS          POLARITY            TIME TAKEN
----------------------------------------------------------------------------------------------------------------------------------
100_The_Complete_Works_of_William_.txt  2113                1939                412                 174                 0.6927228s
101_The_Hacker_Crackdown                0                   0                   0                   0                   0.0000006s
102_The_Tragedy_of_Pudd'nhead_Wils.txt  1051                694                 317                 357                 0.0446725s
103_Around_the_World_in_Eighty_Day.txt  1049                585                 304                 464                 0.0518676s
104_Inaugural_Address_of_Franklin_.txt  276                 79                  156                 197                 0.0043474s
105_Persuasion.txt                      1169                678                 301                 491                 0.0721533s
106_Jungle_Tales_of_Tarzan.txt          1063                781                 290                 282                 0.0610969s
107_Far_from_the_Madding_Crowd.txt      1558                1147                346                 411                 0.1003754s
108_The_Return_of_Sherlock_Holmes.txt   1314                921                 306                 393                 0.0909692s
109_Renascence,_and_Other_Poems.txt     382                 206                 223                 176                 0.0073518s
10_The_King_James_Version_of_the_.txt   1176                876                 332                 300                 0.5345520s
110_Tess_of_the_d'Urbervilles           0                   0                   0                   0                   0.0000010s
111_Freckles.txt                        1136                687                 301                 449                 0.0604472s
112_Violists.txt                        690                 280                 272                 410                 0.0174357s
113_The_Secret_Garden.txt               832                 482                 285                 350                 0.0529794s
114_The_Tenniel_Illustrations_for_.txt  142                 33                  119                 109                 0.0026050s
115_United_States_Census_Figures_B.txt  182                 32                  154                 150                 0.0295918s
117_Symphony_No._5_in_C_minor_Opus.txt  131                 28                  115                 103                 0.0025997s
118_Big_Dummy's_Guide_to_the_Inter.txt  695                 265                 300                 430                 0.0471534s
119_A_Tramp_Abroad.txt                  1689                1198                356                 491                 0.1274519s
11_Alice's_Adventures_in_Wonderla.txt   510                 267                 261                 243                 0.0212264s
120_Treasure_Island.txt                 893                 649                 304                 244                 0.0517597s
12_Through_the_Looking-Glass.txt        559                 302                 260                 257                 0.0244890s
13_The_Hunting_of_the_Snark             0                   0                   0                   0                   0.0000008s
14_The_1990_CIA_World_Factbook.txt      820                 355                 259                 465                 0.2256524s
15_Moby-Dick;_or,_The_Whale.txt         1870                1439                392                 431                 0.1888679s
16_Peter_Pan.txt                        858                 597                 282                 261                 0.0385260s
17_The_Book_of_Mormon                   0                   0                   0                   0                   0.0000006s
18_The_Federalist_Papers.txt            1333                1046                314                 287                 0.1865977s
19_The_Song_of_Hiawatha.txt             606                 411                 236                 195                 0.0268722s
1_The_Declaration_of_Independenc.txt    567                 242                 254                 325                 0.0161014s
20_Paradise_Lost.txt                    1058                787                 296                 271                 0.0677390s
21_Aesop's_Fables                       0                   0                   0                   0                   0.0000005s
22_Roget's_Thesaurus.txt                3073                2947                403                 126                 0.1901382s
23_Narrative_of_the_Life_of_Frede.txt   941                 572                 291                 369                 0.0351896s
24_O_Pioneers!.txt                      840                 569                 285                 271                 0.0436398s
25_The_1991_CIA_World_Factbook.txt      870                 372                 265                 498                 0.1947639s
26_Paradise_Lost.txt                    1278                933                 316                 345                 0.0631367s
27_Far_from_the_Madding_Crowd.txt       1561                1135                348                 426                 0.0971910s
28_The_Fables_of_Aesop                  0                   0                   0                   0                   0.0000010s
29_The_1990_United_States_Census.txt    136                 29                  114                 107                 0.0146088s
2_The_United_States_Bill_of_Righ.txt    158                 44                  133                 114                 0.0028234s
30_The_Bible,_King_James_Version,.txt   1178                870                 333                 308                 0.4780937s
31_Plays_of_Sophocles                   0                   0                   0                   0                   0.0000008s
32_Herland.txt                          1166                580                 297                 586                 0.0422852s
33_The_Scarlet_Letter.txt               1409                898                 343                 511                 0.0735532s
34_Zen_and_the_Art_of_the_Interne.txt   587                 178                 274                 409                 0.0226047s
35_The_Time_Machine.txt                 766                 526                 275                 240                 0.0289284s
36_The_War_of_the_Worlds.txt            916                 738                 297                 178                 0.0489523s
37_The_1990_United_States_Census_.txt   137                 29                  114                 108                 0.0132153s
38_The_Jargon_File,_Version_2.9.1.txt   1580                1187                365                 393                 0.1310844s
39_Hitchhiker's_Guide_to_the_Inte.txt   315                 78                  210                 237                 0.0089872s
3_John_F._Kennedy's_Inaugural_Ad.txt    238                 69                  158                 169                 0.0036758s
40_NorthWestNet_User_Services_Int.txt   8                   3                   17                  5                   0.0000814s
41_The_Legend_of_Sleepy_Hollow.txt      615                 273                 234                 342                 0.0118229s
42_The_Strange_Case_of_Dr._Jekyll.txt   750                 477                 273                 273                 0.0223005s
43_The_Strange_Case_of_Dr._Jekyll.txt   747                 477                 273                 270                 0.0194454s
44_The_Song_of_the_Lark.txt             1486                1053                307                 433                 0.1081579s
45_Anne_of_Green_Gables.txt             1299                812                 317                 487                 0.0816418s
46_A_Christmas_Carol_in_Prose;_Be.txt   758                 459                 292                 299                 0.0254872s
47_Anne_of_Avonlea.txt                  1227                768                 316                 459                 0.0649763s
48_The_1992_CIA_World_Factbook.txt      931                 441                 276                 490                 0.2579359s
49_Surfing_the_Internet                 0                   0                   0                   0                   0.0000009s
4_Lincoln's_Gettysburg_Address          0                   0                   0                   0                   0.0000007s
50_Pi.txt                               151                 28                  125                 123                 0.0256702s
51_Anne_of_the_Island.txt               1179                782                 307                 397                 0.0629609s
52_The_Square_Root_of_2.txt             149                 33                  121                 116                 0.0206122s
53_Workshop_on_Electronic_Texts         0                   0                   0                   0                   0.0000012s
54_The_Marvelous_Land_of_Oz.txt         873                 496                 279                 377                 0.0346060s
55_The_Wonderful_Wizard_of_Oz.txt       617                 325                 265                 292                 0.0299192s
56_NREN_for_All                         0                   0                   0                   0                   0.0000006s
57_Aladdin_and_the_Magic_Lamp.txt       319                 110                 215                 209                 0.0065458s
58_Paradise_Regained.txt                698                 374                 264                 324                 0.0149593s
59_Discourse_on_the_Method_of_Rig.txt   671                 241                 273                 430                 0.0205992s
5_The_United_States_Constitution.txt    218                 40                  180                 178                 0.0058205s
60_The_Scarlet_Pimpernel.txt            1276                906                 311                 370                 0.0646963s
61_The_Communist_Manifesto.txt          481                 208                 222                 273                 0.0123690s
62_A_Princess_of_Mars.txt               1108                653                 302                 455                 0.0559087s
64_The_Gods_of_Mars.txt                 1094                746                 306                 348                 0.0686714s
65_The_First_100,000_Prime_Number.txt   141                 29                  118                 112                 0.0163616s
66_The_Dawn_of_Amateur_Radio_in_t.txt   685                 251                 274                 434                 0.0296996s
67_The_Black_Experience_in_Americ.txt   1185                770                 299                 415                 0.0766355s
68_The_warlord_of_Mars.txt              971                 656                 282                 315                 0.0476894s
69_The_32nd_Mersenne_Prime              0                   0                   0                   0                   0.0000006s
6_Give_Me_Liberty_or_Give_Me_Dea.txt    207                 72                  159                 135                 0.0038211s
71_On_the_Duty_of_Civil_Disobedie.txt   479                 204                 241                 275                 0.0110811s
72_Thuvia,_Maid_of_Mars.txt             878                 564                 284                 314                 0.0400682s
73_The_Red_Badge_of_Courage             0                   0                   0                   0                   0.0000004s
74_The_Adventures_of_Tom_Sawyer,_.txt   1108                831                 318                 277                 0.0532023s
75_E-mail_101.txt                       504                 126                 257                 378                 0.0190159s
76_Adventures_of_Huckleberry_Finn.txt   734                 521                 283                 213                 0.0713430s
77_The_House_of_the_Seven_Gables.txt    1583                1065                337                 518                 0.0845112s
78_Tarzan_of_the_Apes.txt               1165                877                 301                 288                 0.0609563s
79_Terminal_Compromise.txt              1787                1341                353                 446                 0.1633726s
7_The_Mayflower_Compact.txt             138                 29                  120                 109                 0.0027307s
80_The_Online_World.txt                 856                 280                 299                 576                 0.0668605s
