FILE NAME                               POSITIVE WORDS      NEGATIVE WORDS      STOP WORDS          POLARITY            TIME TAKEN
----------------------------------------------------------------------------------------------------------------------------------
1000_La_Divina_Commedia_di_Dante        0                   0                   0                   0                   0.0000012s
100_The_Complete_Works_of_William_.txt  2113                1939                412                 174                 0.4692564s
101_The_Hacker_Crackdown                0                   0                   0                   0                   0.0000020s
102_The_Tragedy_of_Pudd'nhead_Wils.txt  1051                694                 317                 357                 0.0314559s
103_Around_the_World_in_Eighty_Day.txt  1049                585                 304                 464                 0.0368780s
104_Inaugural_Address_of_Franklin_.txt  276                 79                  156                 197                 0.0040903s
105_Persuasion.txt                      1169                678                 301                 491                 0.0474712s
106_Jungle_Tales_of_Tarzan.txt          1063                781                 290                 282                 0.0422037s
107_Far_from_the_Madding_Crowd.txt      1558                1147                346                 411                 0.0768610s
108_The_Return_of_Sherlock_Holmes.txt   1314                921                 306                 393                 0.0616128s
109_Renascence,_and_Other_Poems.txt     382                 206                 223                 176                 0.0063636s
10_The_King_James_Version_of_the_.txt   1176                876                 332                 300                 0.3339381s
110_Tess_of_the_d'Urbervilles           0                   0                   0                   0                   0.0000008s
111_Freckles.txt                        1136                687                 301                 449                 0.0436459s
112_Violists.txt                        690                 280                 272                 410                 0.0144524s
113_The_Secret_Garden.txt               832                 482                 285                 350                 0.0396603s
114_The_Tenniel_Illustrations_for_.txt  142                 33                  119                 109                 0.0024699s
115_United_States_Census_Figures_B.txt  182                 32                  154                 150                 0.0239089s
117_Symphony_No._5_in_C_minor_Opus.txt  131                 28                  115                 103                 0.0024193s
118_Big_Dummy's_Guide_to_the_Inter.txt  695                 265                 300                 430                 0.0346492s
119_A_Tramp_Abroad.txt                  1689                1198                356                 491                 0.0874859s
11_Alice's_Adventures_in_Wonderla.txt   510                 267                 261                 243                 0.0160479s
120_Treasure_Island.txt                 893                 649                 304                 244                 0.0370978s
121_Northanger_Abbey.txt                1184                697                 307                 487                 0.0453209s
122_The_Return_of_the_Native.txt        1472                1101                347                 371                 0.0771577s
123_At_the_Earth's_Core.txt             924                 568                 292                 356                 0.0294157s
124_Deuterocanonical_Books_of_the_.txt  968                 627                 318                 341                 0.0689947s
125_A_Girl_of_the_Limberlost.txt        1210                733                 289                 477                 0.0608003s
126_The_Poison_Belt.txt                 822                 529                 285                 293                 0.0223020s
128_The_Arabian_Nights_Entertainme.txt  1142                701                 320                 441                 0.0634197s
129_The_Square_Root_of_2.txt            142                 28                  120                 114                 0.0614411s
12_Through_the_Looking-Glass.txt        559                 302                 260                 257                 0.0221472s
130_Orthodoxy.txt                       1205                827                 289                 378                 0.0463362s
131_The_Pilgrim's_Progress_from_th.txt  800                 535                 311                 265                 0.0331745s
132_The_Art_of_War.txt                  1060                710                 314                 350                 0.0390491s
133_The_Damnation_of_Theron_Ware.txt    1623                1114                332                 509                 0.0824220s
134_Maria;_Or,_The_Wrongs_of_Woman.txt  1092                785                 273                 307                 0.0418000s
135_Les_Misérables.txt                  2085                1835                380                 250                 0.4395987s
136_A_Child's_Garden_of_Verses.txt      376                 129                 211                 247                 0.0073623s
137_Sara_Crewe;_Or,_What_Happened_.txt  512                 233                 255                 279                 0.0119639s
138_George_Sand                         0                   0                   0                   0                   0.0000006s
139_The_Lost_World.txt                  1210                861                 313                 349                 0.0595434s
13_The_Hunting_of_the_Snark             0                   0                   0                   0                   0.0000011s
140_The_Jungle.txt                      1264                1101                326                 163                 0.0924029s
141_Mansfield_Park.txt                  1433                965                 320                 468                 0.0985054s
142_The_$30,000_Bequest,_and_Other.txt  1579                1003                341                 576                 0.0635292s
143_The_Mayor_of_Casterbridge.txt       1402                1012                339                 390                 0.0841874s
144_The_Voyage_Out.txt                  1381                1054                313                 327                 0.0931408s
145_Middlemarch.txt                     2064                1641                369                 423                 0.1871711s
146_A_Little_Princess                   0                   0                   0                   0                   0.0000015s
147_Common_Sense.txt                    704                 409                 278                 295                 0.0166065s
148_The_Autobiography_of_Benjamin_.txt  1088                571                 330                 517                 0.0414335s
149_The_Lost_Continent.txt              846                 543                 275                 303                 0.0251057s
14_The_1990_CIA_World_Factbook.txt      820                 355                 259                 465                 0.1556955s
150_The_Republic.txt                    1324                870                 335                 454                 0.0676120s
151_The_Rime_of_the_Ancient_Marine.txt  297                 120                 193                 177                 0.0051986s
152_Wild_Justice.txt                    971                 658                 306                 313                 0.0360385s
153_Jude_the_Obscure.txt                1503                1163                352                 340                 0.0785267s
154_The_Rise_of_Silas_Lapham.txt        1341                939                 323                 402                 0.0671010s
155_The_Moonstone.txt                   1455                1049                323                 406                 0.1015039s
156_Symphony_No._5_in_C_minor,_Opu.txt  131                 28                  115                 103                 0.0025032s
157_Daddy-Long-Legs.txt                 852                 448                 293                 404                 0.0230992s
158_Emma.txt                            1389                841                 313                 548                 0.0868574s
159_The_island_of_Doctor_Moreau.txt     804                 691                 279                 113                 0.0258981s
15_Moby-Dick;_or,_The_Whale.txt         1870                1439                392                 431                 0.1179633s
160_The_Awakening,_and_Selected_Sh.txt  1162                722                 292                 440                 0.0376995s
161_Sense_and_Sensibility.txt           1253                803                 303                 450                 0.0692370s
162_Take_Me_for_a_Ride                  0                   0                   0                   0                   0.0000015s
163_Flower_Fables.txt                   601                 260                 250                 341                 0.0202883s
164_Twenty_Thousand_Leagues_under_.txt  1170                745                 318                 425                 0.0686189s
165_McTeague                            0                   0                   0                   0                   0.0000008s
166_Summer.txt                          952                 674                 288                 278                 0.0385952s
167_American_Hand_Book_of_the_Dagu.txt  728                 256                 282                 472                 0.0363658s
168_The_History_and_Practice_of_th.txt  711                 223                 284                 488                 0.0337028s
169_The_Well_at_the_World's_End         0                   0                   0                   0                   0.0000062s
16_Peter_Pan.txt                        858                 597                 282                 261                 0.0374983s
170_The_Haunted_Hotel                   0                   0                   0                   0                   0.0000036s
171_Charlotte_Temple.txt                944                 582                 283                 362                 0.0318405s
172_The_Haunted_Bookshop.txt            1178                775                 310                 403                 0.0365437s
173_The_Insidious_Dr._Fu_Manchu.txt     1141                840                 321                 301                 0.0432748s
174_The_Picture_of_Dorian_Gray.txt      1047                735                 287                 312                 0.0487456s
175_The_Phantom_of_the_Opera.txt        1096                720                 316                 376                 0.0456590s
176_Roderick_Hudson.txt                 1630                1121                328                 509                 0.0725232s
177_The_American.txt                    1515                1029                317                 486                 0.0842559s
178_Confidence.txt                      1182                681                 299                 501                 0.0442254s
179_The_Europeans.txt                   1052                505                 286                 547                 0.0351247s
17_The_Book_of_Mormon                   0                   0                   0                   0                   0.0000013s
180_The_1994_CIA_World_Factbook.txt     983                 512                 286                 471                 0.2166466s
181_The_Project_Gutenberg_RST_Manu.txt  219                 49                  164                 170                 0.0055081s
18_The_Federalist_Papers.txt            1333                1046                314                 287                 0.1120058s
19_The_Song_of_Hiawatha.txt             606                 411                 236                 195                 0.0189092s
1_The_Declaration_of_Independenc.txt    567                 242                 254                 325                 0.0124473s
200_The_Project_Gutenberg_Encyclop.txt  2633                2130                430                 503                 0.8180471s
201_Flatland                            0                   0                   0                   0                   0.0000011s
202_My_Bondage_and_My_Freedom.txt       1631                1190                354                 441                 0.0939890s
203_Uncle_Tom's_Cabin.txt               1678                1212                351                 466                 0.1353804s
204_The_Innocence_of_Father_Brown.txt   1199                907                 303                 292                 0.0522394s
205_Walden,_and_On_The_Duty_Of_Civ.txt  1493                923                 339                 570                 0.0890146s
206_The_Martin_Luther_King,_Jr._Da.txt  1685                1148                365                 537                 0.0985126s
