FILE NAME                               POSITIVE WORDS      NEGATIVE WORDS      STOP WORDS          POLARITY            TIME TAKEN
----------------------------------------------------------------------------------------------------------------------------------
1000_La_Divina_Commedia_di_Dante        0                   0                   0                   0                   0.0000013s
100_The_Complete_Works_of_William_.txt  2115                1939                412                 176                 0.6278641s
101_The_Hacker_Crackdown                0                   0                   0                   0                   0.0000009s
102_The_Tragedy_of_Pudd'nhead_Wils.txt  1052                694                 317                 358                 0.0331895s
103_Around_the_World_in_Eighty_Day.txt  1050                585                 304                 465                 0.0431154s
104_Inaugural_Address_of_Franklin_.txt  276                 79                  156                 197                 0.0037915s
105_Persuasion.txt                      1171                678                 301                 493                 0.0509583s
106_Jungle_Tales_of_Tarzan.txt          1064                781                 290                 283                 0.0516573s
107_Far_from_the_Madding_Crowd.txt      1558                1147                346                 411                 0.0904223s
108_The_Return_of_Sherlock_Holmes.txt   1314                921                 306                 393                 0.0709212s
109_Renascence,_and_Other_Poems.txt     382                 206                 223                 176                 0.0063414s
10_The_King_James_Version_of_the_.txt   1176                876                 332                 300                 0.4631117s
110_Tess_of_the_d'Urbervilles           0                   0                   0                   0                   0.0000030s
111_Freckles.txt                        1136                687                 301                 449                 0.0558892s
112_Violists.txt                        690                 280                 272                 410                 0.0172525s
113_The_Secret_Garden.txt               832                 482                 285                 350                 0.0540674s
114_The_Tenniel_Illustrations_for_.txt  142                 33                  119                 109                 0.0021255s
115_United_States_Census_Figures_B.txt  182                 32                  154                 150                 0.0429004s
117_Symphony_No._5_in_C_minor_Opus.txt  131                 28                  115                 103                 0.0021977s
118_Big_Dummy's_Guide_to_the_Inter.txt  695                 265                 300                 430                 0.0453769s
119_A_Tramp_Abroad.txt                  1689                1198                356                 491                 0.1155931s
11_Alice's_Adventures_in_Wonderla.txt   511                 267                 261                 244                 0.0206519s
120_Treasure_Island.txt                 893                 649                 304                 244                 0.0480596s
121_Northanger_Abbey.txt                1184                697                 307                 487                 0.0597699s
122_The_Return_of_the_Native.txt        1472                1101                347                 371                 0.1105859s
123_At_the_Earth's_Core.txt             925                 568                 292                 357                 0.0356473s
124_Deuterocanonical_Books_of_the_.txt  968                 627                 318                 341                 0.0955402s
125_A_Girl_of_the_Limberlost.txt        1210                733                 289                 477                 0.0838911s
126_The_Poison_Belt.txt                 822                 529                 285                 293                 0.0314873s
128_The_Arabian_Nights_Entertainme.txt  1142                701                 320                 441                 0.0711321s
129_The_Square_Root_of_2.txt            142                 28                  120                 114                 0.0673461s
12_Through_the_Looking-Glass.txt        560                 302                 260                 258                 0.0189880s
130_Orthodoxy.txt                       1206                827                 289                 379                 0.0447631s
131_The_Pilgrim's_Progress_from_th.txt  800                 535                 311                 265                 0.0356267s
132_The_Art_of_War.txt                  1060                710                 314                 350                 0.0380553s
133_The_Damnation_of_Theron_Ware.txt    1624                1114                332                 510                 0.0723910s
134_Maria;_Or,_The_Wrongs_of_Woman.txt  1092                785                 273                 307                 0.0288823s
135_Les_Misérables.txt                  2087                1835                380                 252                 0.3488918s
136_A_Child's_Garden_of_Verses.txt      376                 129                 211                 247                 0.0054711s
137_Sara_Crewe;_Or,_What_Happened_.txt  513                 233                 255                 280                 0.0103425s
138_George_Sand                         0                   0                   0                   0                   0.0000010s
139_The_Lost_World.txt                  1210                861                 313                 349                 0.0451269s
13_The_Hunting_of_the_Snark             0                   0                   0                   0                   0.0000008s
140_The_Jungle.txt                      1264                1101                326                 163                 0.0857426s
141_Mansfield_Park.txt                  1433                965                 320                 468                 0.1010790s
142_The_$30,000_Bequest,_and_Other.txt  1579                1003                341                 576                 0.0637835s
143_The_Mayor_of_Casterbridge.txt       1402                1012                339                 390                 0.0744383s
144_The_Voyage_Out.txt                  1381                1054                313                 327                 0.0842192s
145_Middlemarch.txt                     2064                1641                369                 423                 0.2006222s
146_A_Little_Princess                   0                   0                   0                   0                   0.0000010s
147_Common_Sense.txt                    704                 409                 278                 295                 0.0173396s
148_The_Autobiography_of_Benjamin_.txt  1088                571                 330                 517                 0.0440954s
149_The_Lost_Continent.txt              847                 543                 275                 304                 0.0277273s
14_The_1990_CIA_World_Factbook.txt      820                 355                 259                 465                 0.1621346s
150_The_Republic.txt                    1324                870                 335                 454                 0.0846401s
151_The_Rime_of_the_Ancient_Marine.txt  297                 120                 193                 177                 0.0044264s
152_Wild_Justice.txt                    971                 658                 306                 313                 0.0409289s
153_Jude_the_Obscure.txt                1503                1163                352                 340                 0.0962908s
154_The_Rise_of_Silas_Lapham.txt        1342                939                 323                 403                 0.0879433s
155_The_Moonstone.txt                   1457                1049                323                 408                 0.1227446s
156_Symphony_No._5_in_C_minor,_Opu.txt  131                 28                  115                 103                 0.0021068s
157_Daddy-Long-Legs.txt                 852                 448                 293                 404                 0.0261889s
158_Emma.txt                            1390                842                 313                 548                 0.0998134s
159_The_island_of_Doctor_Moreau.txt     804                 691                 279                 113                 0.0303186s
15_Moby-Dick;_or,_The_Whale.txt         1871                1439                392                 432                 0.1456600s
160_The_Awakening,_and_Selected_Sh.txt  1162                722                 292                 440                 0.0460894s
161_Sense_and_Sensibility.txt           1254                803                 303                 451                 0.0835191s
162_Take_Me_for_a_Ride                  0                   0                   0                   0                   0.0000007s
163_Flower_Fables.txt                   601                 260                 250                 341                 0.0223538s
164_Twenty_Thousand_Leagues_under_.txt  1170                745                 318                 425                 0.0739731s
165_McTeague                            0                   0                   0                   0                   0.0000004s
166_Summer.txt                          952                 674                 288                 278                 0.0413238s
167_American_Hand_Book_of_the_Dagu.txt  728                 256                 282                 472                 0.0313368s
168_The_History_and_Practice_of_th.txt  711                 223                 284                 488                 0.0266585s
169_The_Well_at_the_World's_End         0                   0                   0                   0                   0.0000007s
16_Peter_Pan.txt                        858                 597                 282                 261                 0.0320870s
170_The_Haunted_Hotel                   0                   0                   0                   0                   0.0000006s
171_Charlotte_Temple.txt                945                 582                 283                 363                 0.0303224s
172_The_Haunted_Bookshop.txt            1178                775                 310                 403                 0.0442468s
173_The_Insidious_Dr._Fu_Manchu.txt     1141                840                 321                 301                 0.0509294s
174_The_Picture_of_Dorian_Gray.txt      1048                735                 287                 313                 0.0474714s
175_The_Phantom_of_the_Opera.txt        1096                720                 316                 376                 0.0546664s
176_Roderick_Hudson.txt                 1630                1121                328                 509                 0.0834411s
177_The_American.txt                    1518                1029                317                 489                 0.0785643s
178_Confidence.txt                      1183                681                 299                 502                 0.0523498s
179_The_Europeans.txt                   1053                505                 286                 548                 0.0429960s
17_The_Book_of_Mormon                   0                   0                   0                   0                   0.0000007s
180_The_1994_CIA_World_Factbook.txt     985                 512                 286                 473                 0.1839515s
181_The_Project_Gutenberg_RST_Manu.txt  219                 49                  164                 170                 0.0043236s
18_The_Federalist_Papers.txt            1333                1046                314                 287                 0.1069906s
19_The_Song_of_Hiawatha.txt             606                 411                 236                 195                 0.0204360s
1_The_Declaration_of_Independenc.txt    567                 242                 254                 325                 0.0132553s
200_The_Project_Gutenberg_Encyclop.txt  2633                2130                430                 503                 0.8627423s
201_Flatland                            0                   0                   0                   0                   0.0000013s
202_My_Bondage_and_My_Freedom.txt       1631                1190                354                 441                 0.0828448s
203_Uncle_Tom's_Cabin.txt               1678                1212                351                 466                 0.1266342s
204_The_Innocence_of_Father_Brown.txt   1201                907                 303                 294                 0.0545000s
205_Walden,_and_On_The_Duty_Of_Civ.txt  1493                923                 339                 570                 0.0834094s
206_The_Martin_Luther_King,_Jr._Da.txt  1686                1148                365                 538                 0.0959120s
207_The_Spell_of_the_Yukon_and_Oth.txt  556                 391                 232                 165                 0.0106024s
208_Daisy_Miller                        0                   0                   0                   0                   0.0000004s
209_The_Turn_of_the_Screw.txt           949                 582                 273                 367                 0.0398017s
20_Paradise_Lost.txt                    1058                787                 296                 271                 0.0558690s
210_An_International_Episode.txt        737                 300                 280                 437                 0.0343150s
211_The_Aspern_Papers.txt               868                 488                 286                 380                 0.0277802s
212_A_List_of_Factorial_Math_Const.txt  132                 29                  113                 103                 0.0057402s
213_The_Man_from_Snowy_River.txt        706                 421                 272                 285                 0.0179879s
214_In_the_Days_When_the_World_Was.txt  695                 499                 281                 196                 0.0201367s
215_The_call_of_the_wild.txt            770                 585                 271                 185                 0.0226569s
216_The_Tao_Teh_King,_or_the_Tao_a.txt  503                 219                 229                 284                 0.0088261s
217_Sons_and_Lovers.txt                 1299                1073                325                 226                 0.1011875s
218_C._Iuli_Caesaris_De_Bello_Gall.txt  145                 33                  129                 112                 0.0153895s
219_Heart_of_Darkness.txt               945                 663                 279                 282                 0.0255063s
21_Aesop's_Fables                       0                   0                   0                   0                   0.0000012s
220_The_Secret_Sharer.txt               578                 295                 254                 283                 0.0130137s
221_The_Return_of_Sherlock_Holmes.txt   1279                877                 308                 402                 0.0732219s
222_The_Moon_and_Sixpence.txt           1216                900                 297                 316                 0.0478457s
223_The_Wisdom_of_Father_Brown.txt      1214                863                 310                 351                 0.0508454s
224_A_pair_of_blue_eyes.txt             1515                1094                350                 421                 0.0866179s
225_At_the_Back_of_the_North_Wind.txt   881                 546                 302                 335                 0.0494048s
226_Cicero's_Orations.txt               151                 38                  132                 113                 0.0108131s
227_Aeneidos.txt                        185                 51                  134                 134                 0.0457394s
228_The_Aeneid.txt                      1065                844                 282                 221                 0.0713321s
229_The_Bucolics_and_Eclogues.txt       149                 38                  127                 111                 0.0057855s
22_Roget's_Thesaurus.txt                3073                2947                403                 126                 0.1597554s
230_The_Bucolics_and_Eclogues.txt       431                 210                 233                 221                 0.0072063s
