FILE NAME                               POSITIVE WORDS      NEGATIVE WORDS      STOP WORDS          POLARITY            TIME TAKEN
----------------------------------------------------------------------------------------------------------------------------------
1000_La_Divina_Commedia_di_Dante        0                   0                   0                   0                   0.0000018s
100_The_Complete_Works_of_William_.txt  2113                1939                412                 174                 0.7238511s
101_The_Hacker_Crackdown                0                   0                   0                   0                   0.0000008s
102_The_Tragedy_of_Pudd'nhead_Wils.txt  1051                694                 317                 357                 0.0419553s
103_Around_the_World_in_Eighty_Day.txt  1049                585                 304                 464                 0.0546668s
104_Inaugural_Address_of_Franklin_.txt  276                 79                  156                 197                 0.0044347s
105_Persuasion.txt                      1169                678                 301                 491                 0.0694456s
106_Jungle_Tales_of_Tarzan.txt          1063                781                 290                 282                 0.0591090s
107_Far_from_the_Madding_Crowd.txt      1558                1147                346                 411                 0.1078111s
108_The_Return_of_Sherlock_Holmes.txt   1314                921                 306                 393                 0.0940375s
109_Renascence,_and_Other_Poems.txt     382                 206                 223                 176                 0.0100936s
10_The_King_James_Version_of_the_.txt   1176                876                 332                 300                 0.5351207s
110_Tess_of_the_d'Urbervilles           0                   0                   0                   0                   0.0000019s
111_Freckles.txt                        1136                687                 301                 449                 0.0633426s
112_Violists.txt                        690                 280                 272                 410                 0.0210048s
113_The_Secret_Garden.txt               832                 482                 285                 350                 0.0646948s
114_The_Tenniel_Illustrations_for_.txt  142                 33                  119                 109                 0.0028149s
115_United_States_Census_Figures_B.txt  182                 32                  154                 150                 0.0385352s
117_Symphony_No._5_in_C_minor_Opus.txt  131                 28                  115                 103                 0.0034883s
118_Big_Dummy's_Guide_to_the_Inter.txt  695                 265                 300                 430                 0.0651666s
119_A_Tramp_Abroad.txt                  1689                1198                356                 491                 0.1597851s
11_Alice's_Adventures_in_Wonderla.txt   510                 267                 261                 243                 0.0230609s
120_Treasure_Island.txt                 893                 649                 304                 244                 0.0557412s
121_Northanger_Abbey.txt                1184                697                 307                 487                 0.0697317s
122_The_Return_of_the_Native.txt        1472                1101                347                 371                 0.1468243s
123_At_the_Earth's_Core.txt             924                 568                 292                 356                 0.0558381s
124_Deuterocanonical_Books_of_the_.txt  968                 627                 318                 341                 0.1364881s
125_A_Girl_of_the_Limberlost.txt        1210                733                 289                 477                 0.0975314s
126_The_Poison_Belt.txt                 822                 529                 285                 293                 0.0272853s
128_The_Arabian_Nights_Entertainme.txt  1142                701                 320                 441                 0.0823593s
129_The_Square_Root_of_2.txt            142                 28                  120                 114                 0.0857254s
12_Through_the_Looking-Glass.txt        559                 302                 260                 257                 0.0247388s
130_Orthodoxy.txt                       1205                827                 289                 378                 0.0542146s
131_The_Pilgrim's_Progress_from_th.txt  800                 535                 311                 265                 0.0439837s
132_The_Art_of_War.txt                  1060                710                 314                 350                 0.0510342s
133_The_Damnation_of_Theron_Ware.txt    1623                1114                332                 509                 0.0895742s
134_Maria;_Or,_The_Wrongs_of_Woman.txt  1092                785                 273                 307                 0.0432493s
135_Les_Misérables.txt                  2085                1835                380                 250                 0.4517298s
136_A_Child's_Garden_of_Verses.txt      376                 129                 211                 247                 0.0072358s
137_Sara_Crewe;_Or,_What_Happened_.txt  512                 233                 255                 279                 0.0117032s
138_George_Sand                         0                   0                   0                   0                   0.0000012s
139_The_Lost_World.txt                  1210                861                 313                 349                 0.0559334s
13_The_Hunting_of_the_Snark             0                   0                   0                   0                   0.0000039s
140_The_Jungle.txt                      1264                1101                326                 163                 0.1062747s
141_Mansfield_Park.txt                  1433                965                 320                 468                 0.1236990s
142_The_$30,000_Bequest,_and_Other.txt  1579                1003                341                 576                 0.0787185s
143_The_Mayor_of_Casterbridge.txt       1402                1012                339                 390                 0.0970740s
144_The_Voyage_Out.txt                  1381                1054                313                 327                 0.1073597s
145_Middlemarch.txt                     2064                1641                369                 423                 0.2608913s
146_A_Little_Princess                   0                   0                   0                   0                   0.0000013s
147_Common_Sense.txt                    704                 409                 278                 295                 0.0210604s
148_The_Autobiography_of_Benjamin_.txt  1088                571                 330                 517                 0.0567049s
149_The_Lost_Continent.txt              846                 543                 275                 303                 0.0305920s
14_The_1990_CIA_World_Factbook.txt      820                 355                 259                 465                 0.2348509s
