FILE NAME                               POSITIVE WORDS      NEGATIVE WORDS      STOP WORDS          POLARITY            TIME TAKEN
----------------------------------------------------------------------------------------------------------------------------------
1000_La_Divina_Commedia_di_Dante        0                   0                   0                   0                   0.0000010s
100_The_Complete_Works_of_William_.txt  2115                1939                412                 176                 0.4164734s
101_The_Hacker_Crackdown                0                   0                   0                   0                   0.0000010s
102_The_Tragedy_of_Pudd'nhead_Wils.txt  1052                694                 317                 358                 0.0274233s
103_Around_the_World_in_Eighty_Day.txt  1050                585                 304                 465                 0.0324395s
104_Inaugural_Address_of_Franklin_.txt  276                 79                  156                 197                 0.0033304s
105_Persuasion.txt                      1171                678                 301                 493                 0.0420461s
106_Jungle_Tales_of_Tarzan.txt          1064                781                 290                 283                 0.0367352s
107_Far_from_the_Madding_Crowd.txt      1558                1147                346                 411                 0.0668439s
108_The_Return_of_Sherlock_Holmes.txt   1314                921                 306                 393                 0.0542029s
109_Renascence,_and_Other_Poems.txt     382                 206                 223                 176                 0.0055470s
10_The_King_James_Version_of_the_.txt   1176                876                 332                 300                 0.2961396s
110_Tess_of_the_d'Urbervilles           0                   0                   0                   0                   0.0000007s
111_Freckles.txt                        1136                687                 301                 449                 0.0384333s
112_Violists.txt                        690                 280                 272                 410                 0.0124786s
113_The_Secret_Garden.txt               832                 482                 285                 350                 0.0346134s
114_The_Tenniel_Illustrations_for_.txt  142                 33                  119                 109                 0.0021543s
115_United_States_Census_Figures_B.txt  182                 32                  154                 150                 0.0195182s
117_Symphony_No._5_in_C_minor_Opus.txt  131                 28                  115                 103                 0.0022182s
118_Big_Dummy's_Guide_to_the_Inter.txt  695                 265                 300                 430                 0.0292688s
119_A_Tramp_Abroad.txt                  1689                1198                356                 491                 0.0749856s
11_Alice's_Adventures_in_Wonderla.txt   511                 267                 261                 244                 0.0134765s
120_Treasure_Island.txt                 893                 649                 304                 244                 0.0326730s
121_Northanger_Abbey.txt                1184                697                 307                 487                 0.0400013s
122_The_Return_of_the_Native.txt        1472                1101                347                 371                 0.0671029s
123_At_the_Earth's_Core.txt             925                 568                 292                 357                 0.0257984s
124_Deuterocanonical_Books_of_the_.txt  968                 627                 318                 341                 0.0601153s
125_A_Girl_of_the_Limberlost.txt        1210                733                 289                 477                 0.0532672s
126_The_Poison_Belt.txt                 822                 529                 285                 293                 0.0169052s
128_The_Arabian_Nights_Entertainme.txt  1142                701                 320                 441                 0.0504080s
129_The_Square_Root_of_2.txt            142                 28                  120                 114                 0.0449073s
12_Through_the_Looking-Glass.txt        560                 302                 260                 258                 0.0151252s
130_Orthodoxy.txt                       1206                827                 289                 379                 0.0332716s
131_The_Pilgrim's_Progress_from_th.txt  800                 535                 311                 265                 0.0263508s
132_The_Art_of_War.txt                  1060                710                 314                 350                 0.0283556s
133_The_Damnation_of_Theron_Ware.txt    1624                1114                332                 510                 0.0616253s
