FILE NAME                               POSITIVE WORDS      NEGATIVE WORDS      STOP WORDS          POLARITY            TIME TAKEN
----------------------------------------------------------------------------------------------------------------------------------
1000_La_Divina_Commedia_di_Dante        0                   0                   0                   0                   0.0000016s
100_The_Complete_Works_of_William_.txt  2113                1939                412                 174                 0.4655504s
101_The_Hacker_Crackdown                0                   0                   0                   0                   0.0000018s
102_The_Tragedy_of_Pudd'nhead_Wils.txt  1051                694                 317                 357                 0.0320517s
103_Around_the_World_in_Eighty_Day.txt  1049                585                 304                 464                 0.0368272s
104_Inaugural_Address_of_Franklin_.txt  276                 79                  156                 197                 0.0036894s
105_Persuasion.txt                      1169                678                 301                 491                 0.0476570s
106_Jungle_Tales_of_Tarzan.txt          1063                781                 290                 282                 0.0418639s
107_Far_from_the_Madding_Crowd.txt      1558                1147                346                 411                 0.0752124s
108_The_Return_of_Sherlock_Holmes.txt   1314                921                 306                 393                 0.0609562s
109_Renascence,_and_Other_Poems.txt     382                 206                 223                 176                 0.0063958s
10_The_King_James_Version_of_the_.txt   1176                876                 332                 300                 0.3306447s
110_Tess_of_the_d'Urbervilles           0                   0                   0                   0                   0.0000008s
111_Freckles.txt                        1136                687                 301                 449                 0.0445769s
112_Violists.txt                        690                 280                 272                 410                 0.0149331s
113_The_Secret_Garden.txt               832                 482                 285                 350                 0.0394816s
114_The_Tenniel_Illustrations_for_.txt  142                 33                  119                 109                 0.0028690s
115_United_States_Census_Figures_B.txt  182                 32                  154                 150                 0.0238126s
117_Symphony_No._5_in_C_minor_Opus.txt  131                 28                  115                 103                 0.0023396s
118_Big_Dummy's_Guide_to_the_Inter.txt  695                 265                 300                 430                 0.0331005s
119_A_Tramp_Abroad.txt                  1689                1198                356                 491                 0.0872080s
11_Alice's_Adventures_in_Wonderla.txt   510                 267                 261                 243                 0.0157908s
120_Treasure_Island.txt                 893                 649                 304                 244                 0.0358952s
121_Northanger_Abbey.txt                1184                697                 307                 487                 0.0442043s
122_The_Return_of_the_Native.txt        1472                1101                347                 371                 0.0765918s
123_At_the_Earth's_Core.txt             924                 568                 292                 356                 0.0298952s
124_Deuterocanonical_Books_of_the_.txt  968                 627                 318                 341                 0.0676838s
125_A_Girl_of_the_Limberlost.txt        1210                733                 289                 477                 0.0620801s
126_The_Poison_Belt.txt                 822                 529                 285                 293                 0.0214533s
128_The_Arabian_Nights_Entertainme.txt  1142                701                 320                 441                 0.0595747s
129_The_Square_Root_of_2.txt            142                 28                  120                 114                 0.0537140s
12_Through_the_Looking-Glass.txt        559                 302                 260                 257                 0.0177081s
130_Orthodoxy.txt                       1205                827                 289                 378                 0.0409529s
131_The_Pilgrim's_Progress_from_th.txt  800                 535                 311                 265                 0.0299359s
132_The_Art_of_War.txt                  1060                710                 314                 350                 0.0329419s
133_The_Damnation_of_Theron_Ware.txt    1623                1114                332                 509                 0.0695364s
134_Maria;_Or,_The_Wrongs_of_Woman.txt  1092                785                 273                 307                 0.0312102s
135_Les_Misérables.txt                  2085                1835                380                 250                 0.2981309s
136_A_Child's_Garden_of_Verses.txt      376                 129                 211                 247                 0.0090782s
137_Sara_Crewe;_Or,_What_Happened_.txt  512                 233                 255                 279                 0.0121175s
138_George_Sand                         0                   0                   0                   0                   0.0000008s
139_The_Lost_World.txt                  1210                861                 313                 349                 0.0445243s
13_The_Hunting_of_the_Snark             0                   0                   0                   0                   0.0000007s
140_The_Jungle.txt                      1264                1101                326                 163                 0.0782718s
141_Mansfield_Park.txt                  1433                965                 320                 468                 0.0867949s
142_The_$30,000_Bequest,_and_Other.txt  1579                1003                341                 576                 0.0541865s
143_The_Mayor_of_Casterbridge.txt       1402                1012                339                 390                 0.0642410s
144_The_Voyage_Out.txt                  1381                1054                313                 327                 0.0754949s
145_Middlemarch.txt                     2064                1641                369                 423                 0.1731026s
146_A_Little_Princess                   0                   0                   0                   0                   0.0000010s
147_Common_Sense.txt                    704                 409                 278                 295                 0.0158956s
148_The_Autobiography_of_Benjamin_.txt  1088                571                 330                 517                 0.0394861s
149_The_Lost_Continent.txt              846                 543                 275                 303                 0.0234242s
14_The_1990_CIA_World_Factbook.txt      820                 355                 259                 465                 0.1365607s
150_The_Republic.txt                    1324                870                 335                 454                 0.0647081s
151_The_Rime_of_the_Ancient_Marine.txt  297                 120                 193                 177                 0.0045014s
152_Wild_Justice.txt                    971                 658                 306                 313                 0.0356087s
153_Jude_the_Obscure.txt                1503                1163                352                 340                 0.0775490s
154_The_Rise_of_Silas_Lapham.txt        1341                939                 323                 402                 0.0659178s
155_The_Moonstone.txt                   1455                1049                323                 406                 0.1000025s
156_Symphony_No._5_in_C_minor,_Opu.txt  131                 28                  115                 103                 0.0024162s
157_Daddy-Long-Legs.txt                 852                 448                 293                 404                 0.0232147s
158_Emma.txt                            1389                841                 313                 548                 0.0843879s
