FILE NAME                               POSITIVE WORDS      NEGATIVE WORDS      STOP WORDS          POLARITY            TIME TAKEN
178_Confidence.txt                      1183                681                 299                 502                 0.0474291s
179_The_Europeans.txt                   1053                505                 286                 548                 0.0380980s
17_The_Book_of_Mormon                   0                   0                   0                   0                   0.0000007s
180_The_1994_CIA_World_Factbook.txt     985                 512                 286                 473                 0.1793178s
181_The_Project_Gutenberg_RST_Manu.txt  219                 49                  164                 170                 0.0036798s
18_The_Federalist_Papers.txt            1333                1046                314                 287                 0.1038517s
19_The_Song_of_Hiawatha.txt             606                 411                 236                 195                 0.0203544s
1_The_Declaration_of_Independenc.txt    567                 242                 254                 325                 0.0126776s
200_The_Project_Gutenberg_Encyclop.txt  2633                2130                430                 503                 0.8593833s
201_Flatland                            0                   0                   0                   0                   0.0000008s
202_My_Bondage_and_My_Freedom.txt       1631                1190                354                 441                 0.0823657s
203_Uncle_Tom's_Cabin.txt               1678                1212                351                 466                 0.1300553s
204_The_Innocence_of_Father_Brown.txt   1201                907                 303                 294                 0.0533766s
205_Walden,_and_On_The_Duty_Of_Civ.txt  1493                923                 339                 570                 0.0801209s
206_The_Martin_Luther_King,_Jr._Da.txt  1686                1148                365                 538                 0.1057202s
207_The_Spell_of_the_Yukon_and_Oth.txt  556                 391                 232                 165                 0.0102036s
208_Daisy_Miller                        0                   0                   0                   0                   0.0000006s
209_The_Turn_of_the_Screw.txt           949                 582                 273                 367                 0.0288704s
20_Paradise_Lost.txt                    1058                787                 296                 271                 0.0637814s
210_An_International_Episode.txt        737                 300                 280                 437                 0.0202681s
211_The_Aspern_Papers.txt               868                 488                 286                 380                 0.0265189s
212_A_List_of_Factorial_Math_Const.txt  132                 29                  113                 103                 0.0184613s
213_The_Man_from_Snowy_River.txt        706                 421                 272                 285                 0.0179595s
214_In_the_Days_When_the_World_Was.txt  695                 499                 281                 196                 0.0202182s
215_The_call_of_the_wild.txt            770                 585                 271                 185                 0.0230602s
216_The_Tao_Teh_King,_or_the_Tao_a.txt  503                 219                 229                 284                 0.0088993s
217_Sons_and_Lovers.txt                 1299                1073                325                 226                 0.0994455s
218_C._Iuli_Caesaris_De_Bello_Gall.txt  145                 33                  129                 112                 0.0150946s
219_Heart_of_Darkness.txt               945                 663                 279                 282                 0.0229770s
21_Aesop's_Fables                       0                   0                   0                   0                   0.0000008s
220_The_Secret_Sharer.txt               578                 295                 254                 283                 0.0126260s
221_The_Return_of_Sherlock_Holmes.txt   1279                877                 308                 402                 0.0683919s
222_The_Moon_and_Sixpence.txt           1216                900                 297                 316                 0.0496310s
223_The_Wisdom_of_Father_Brown.txt      1214                863                 310                 351                 0.0544408s
224_A_pair_of_blue_eyes.txt             1515                1094                350                 421                 0.0890321s
225_At_the_Back_of_the_North_Wind.txt   881                 546                 302                 335                 0.0546553s
226_Cicero's_Orations.txt               151                 38                  132                 113                 0.0102997s
227_Aeneidos.txt                        185                 51                  134                 134                 0.0461771s
228_The_Aeneid.txt                      1065                844                 282                 221                 0.0702854s
229_The_Bucolics_and_Eclogues.txt       149                 38                  127                 111                 0.0057003s
22_Roget's_Thesaurus.txt                3073                2947                403                 126                 0.1611379s
230_The_Bucolics_and_Eclogues.txt       431                 210                 233                 221                 0.0073112s
231_Georgicon.txt                       161                 43                  129                 118                 0.0126705s
232_The_Georgics.txt                    703                 474                 249                 229                 0.0166238s
233_Sister_Carrie                       0                   0                   0                   0                   0.0000005s
234_Child_Christopher_and_Goldilin.txt  642                 308                 301                 334                 0.0304979s
235_William_Gibson_Interviewed.txt      253                 63                  185                 190                 0.0039542s
236_The_Jungle_Book.txt                 658                 472                 286                 186                 0.0326547s
237_Sexti_Properti_Elegiarvm            0                   0                   0                   0                   0.0000006s
238_Dear_Enemy.txt                      1212                728                 301                 484                 0.0494379s
239_Radar_Map_of_the_United_States.txt  137                 28                  114                 109                 0.0022314s
23_Narrative_of_the_Life_of_Frede.txt   941                 572                 291                 369                 0.0304452s
