FILE NAME                               POSITIVE WORDS      NEGATIVE WORDS      STOP WORDS          POLARITY            TIME TAKEN
----------------------------------------------------------------------------------------------------------------------------------
1000_La_Divina_Commedia_di_Dante        0                   0                   0                   0                   0.0000011s
100_The_Complete_Works_of_William_.txt  2115                1939                412                 176                 0.4142643s
101_The_Hacker_Crackdown                0                   0                   0                   0                   0.0000012s
102_The_Tragedy_of_Pudd'nhead_Wils.txt  1052                694                 317                 358                 0.0277459s
103_Around_the_World_in_Eighty_Day.txt  1050                585                 304                 465                 0.0318913s
104_Inaugural_Address_of_Franklin_.txt  276                 79                  156                 197                 0.0031395s
105_Persuasion.txt                      1171                678                 301                 493                 0.0414313s
106_Jungle_Tales_of_Tarzan.txt          1064                781                 290                 283                 0.0366363s
107_Far_from_the_Madding_Crowd.txt      1558                1147                346                 411                 0.0666180s
108_The_Return_of_Sherlock_Holmes.txt   1314                921                 306                 393                 0.0547338s
109_Renascence,_and_Other_Poems.txt     382                 206                 223                 176                 0.0056828s
10_The_King_James_Version_of_the_.txt   1176                876                 332                 300                 0.2958557s
110_Tess_of_the_d'Urbervilles           0                   0                   0                   0                   0.0000009s
111_Freckles.txt                        1136                687                 301                 449                 0.0390045s
112_Violists.txt                        690                 280                 272                 410                 0.0128629s
113_The_Secret_Garden.txt               832                 482                 285                 350                 0.0347086s
114_The_Tenniel_Illustrations_for_.txt  142                 33                  119                 109                 0.0021988s
115_United_States_Census_Figures_B.txt  182                 32                  154                 150                 0.0197432s
117_Symphony_No._5_in_C_minor_Opus.txt  131                 28                  115                 103                 0.0020603s
118_Big_Dummy's_Guide_to_the_Inter.txt  695                 265                 300                 430                 0.0289637s
119_A_Tramp_Abroad.txt                  1689                1198                356                 491                 0.0750845s
11_Alice's_Adventures_in_Wonderla.txt   511                 267                 261                 244                 0.0135984s
120_Treasure_Island.txt                 893                 649                 304                 244                 0.0323837s
121_Northanger_Abbey.txt                1184                697                 307                 487                 0.0389717s
122_The_Return_of_the_Native.txt        1472                1101                347                 371                 0.0666632s
123_At_the_Earth's_Core.txt             925                 568                 292                 357                 0.0255225s
124_Deuterocanonical_Books_of_the_.txt  968                 627                 318                 341                 0.0597212s
125_A_Girl_of_the_Limberlost.txt        1210                733                 289                 477                 0.0527287s
126_The_Poison_Belt.txt                 822                 529                 285                 293                 0.0170046s
128_The_Arabian_Nights_Entertainme.txt  1142                701                 320                 441                 0.0503930s
129_The_Square_Root_of_2.txt            142                 28                  120                 114                 0.0448742s
12_Through_the_Looking-Glass.txt        560                 302                 260                 258                 0.0154113s
130_Orthodoxy.txt                       1206                827                 289                 379                 0.0330459s
131_The_Pilgrim's_Progress_from_th.txt  800                 535                 311                 265                 0.0267179s
132_The_Art_of_War.txt                  1060                710                 314                 350                 0.0283745s
133_The_Damnation_of_Theron_Ware.txt    1624                1114                332                 510                 0.0618757s
134_Maria;_Or,_The_Wrongs_of_Woman.txt  1092                785                 273                 307                 0.0257884s
135_Les_Misérables.txt                  2087                1835                380                 252                 0.2579668s
136_A_Child's_Garden_of_Verses.txt      376                 129                 211                 247                 0.0061727s
137_Sara_Crewe;_Or,_What_Happened_.txt  513                 233                 255                 280                 0.0099339s
138_George_Sand                         0                   0                   0                   0                   0.0000007s
139_The_Lost_World.txt                  1210                861                 313                 349                 0.0384246s
13_The_Hunting_of_the_Snark             0                   0                   0                   0                   0.0000006s
140_The_Jungle.txt                      1264                1101                326                 163                 0.0675031s
141_Mansfield_Park.txt                  1433                965                 320                 468                 0.0762792s
142_The_$30,000_Bequest,_and_Other.txt  1579                1003                341                 576                 0.0475281s
143_The_Mayor_of_Casterbridge.txt       1402                1012                339                 390                 0.0568912s
144_The_Voyage_Out.txt                  1381                1054                313                 327                 0.0646808s
145_Middlemarch.txt                     2064                1641                369                 423                 0.1494273s
146_A_Little_Princess                   0                   0                   0                   0                   0.0000005s
147_Common_Sense.txt                    704                 409                 278                 295                 0.0138502s
148_The_Autobiography_of_Benjamin_.txt  1088                571                 330                 517                 0.0344530s
149_The_Lost_Continent.txt              847                 543                 275                 304                 0.0202951s
14_The_1990_CIA_World_Factbook.txt      820                 355                 259                 465                 0.1157999s
150_The_Republic.txt                    1324                870                 335                 454                 0.0576237s
151_The_Rime_of_the_Ancient_Marine.txt  297                 120                 193                 177                 0.0041333s
152_Wild_Justice.txt                    971                 658                 306                 313                 0.0309312s
153_Jude_the_Obscure.txt                1503                1163                352                 340                 0.0685073s
154_The_Rise_of_Silas_Lapham.txt        1342                939                 323                 403                 0.0593885s
155_The_Moonstone.txt                   1457                1049                323                 408                 0.0881689s
156_Symphony_No._5_in_C_minor,_Opu.txt  131                 28                  115                 103                 0.0021235s
157_Daddy-Long-Legs.txt                 852                 448                 293                 404                 0.0202501s
158_Emma.txt                            1390                842                 313                 548                 0.0741007s
159_The_island_of_Doctor_Moreau.txt     804                 691                 279                 113                 0.0226061s
15_Moby-Dick;_or,_The_Whale.txt         1871                1439                392                 432                 0.1032107s
